fid,ville,pays,lat,long,city
"1",Perpignan,France,42.6985304,2.8953121,Perpignan
"2",Barcelone,Espagne,41.3828939,2.1774322,Barcelona
"3",Séville,Espagne,37.3886303,-5.9953403,Sevilla
"4",Lisbonne,Portugal,38.7077507,-9.1365919,Lisboa
"5",Bordeaux,France,44.841225,-0.5800364,Bordeaux
"6",Cahors,France,44.4495,1.4364999,Cahors
"7",Lyon,France,45.7578137,4.8320114,Lyon
"8",Dijon,France,47.3215806,5.0414701,Dijon
"9",Besançon,France,47.2380222,6.0243622,Besançon
"10",Belfort,France,47.6379599,6.8628942,Belfort
"11",Basel,Suisse,47.5581077,7.5878261,Basel
"12",Constance,Allemagne,47.659216,9.1750718,Konstanz
"13",Munich,Allemagne,48.1371079,11.5753822,München
"14",Vienne,Autriche,48.2083537,16.3725042,Wien
"15",Bratislava,Slovaquie,48.1516988,17.1093063,Bratislava
"16",Budapest,Hongrie,47.48138955,19.1460941269125,Budapest
"17",Belgrade,Serbie,44.8178131,20.4568974,Београд
"18",Bucarest,Roumanie,44.4361414,26.1027202,București
"19",Istanbul,Turquie,41.0766019,29.052495,İstanbul
"20",Athènes,Grèce,37.9755648,23.7348324,Αθήνα
"21",Durres,Albanie,41.313255,19.4462348,Bashkia Durrës
"22",Split,Croatie,43.5116383,16.4399659,Split
"23",Ljubljana,Slovénie,46.0500268,14.5069289,Ljubljana
"24",Grenoble,France,45.1875602,5.7357819,Grenoble
"25",Podgorica,Monténégro,42.4415238,19.2621081,Podgorica
